abstract_sku,concrete_sku,price_type,store,currency,value_net,value_gross,from_included,to_included
,052_30614390,DEFAULT,HR,CHF,8358,9286,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
,052_30614390,DEFAULT,HR,CHF,6599,7331,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
,052_30614390,DEFAULT,HR,CHF,3300,3666,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
,053_29567823,DEFAULT,HR,CHF,34842,38713,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
,053_29567823,DEFAULT,HR,CHF,27507,30563,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
,053_29567823,DEFAULT,HR,CHF,13754,15282,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
,058_24245592,DEFAULT,HR,CHF,3396,3773,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
,058_24245592,DEFAULT,HR,CHF,2681,2979,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
,058_24245592,DEFAULT,HR,CHF,1341,1490,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
,058_26175504,DEFAULT,HR,CHF,42237,46931,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
,058_26175504,DEFAULT,HR,CHF,33345,37051,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
,058_26175504,DEFAULT,HR,CHF,16673,18526,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
,059_24245592,DEFAULT,HR,CHF,20837,23152,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
,059_24245592,DEFAULT,HR,CHF,16451,18278,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
,059_24245592,DEFAULT,HR,CHF,8226,9139,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
,059_26027598,DEFAULT,HR,CHF,36732,40814,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
,059_26027598,DEFAULT,HR,CHF,28999,32222,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
,059_26027598,DEFAULT,HR,CHF,14500,16111,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
,059_26175504,DEFAULT,HR,CHF,43443,48269,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
,059_26175504,DEFAULT,HR,CHF,34297,38107,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
,059_26175504,DEFAULT,HR,CHF,17149,19054,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
,060_24245592,DEFAULT,HR,CHF,7305,8116,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
,060_24245592,DEFAULT,HR,CHF,5767,6407,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
,060_24245592,DEFAULT,HR,CHF,2884,3204,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
,060_26027598,DEFAULT,HR,CHF,39143,43493,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
,060_26027598,DEFAULT,HR,CHF,30902,34337,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
,060_26027598,DEFAULT,HR,CHF,15451,17169,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
,060_26175504,DEFAULT,HR,CHF,41136,45707,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
,060_26175504,DEFAULT,HR,CHF,32476,36085,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
,060_26175504,DEFAULT,HR,CHF,16238,18043,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
