abstract_sku,concrete_sku,price_type,store,currency,value_net,value_gross,from_included,to_included
007,,DEFAULT,US,USD,29756,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
007,,DEFAULT,US,USD,14878,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
008,,DEFAULT,US,USD,37691,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
008,,DEFAULT,US,USD,29756,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
008,,DEFAULT,US,USD,14878,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
009,,DEFAULT,US,USD,10924,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
009,,DEFAULT,US,USD,8624,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
009,,DEFAULT,US,USD,4312,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
010,,DEFAULT,US,USD,37801,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
010,,DEFAULT,US,USD,29843,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
010,,DEFAULT,US,USD,14922,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
011,,DEFAULT,US,USD,39986,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
011,,DEFAULT,US,USD,31568,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
011,,DEFAULT,US,USD,15784,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
012,,DEFAULT,US,USD,39986,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
012,,DEFAULT,US,USD,31568,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
012,,DEFAULT,US,USD,15784,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
013,,DEFAULT,US,USD,6226,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
013,,DEFAULT,US,USD,4916,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
013,,DEFAULT,US,USD,2458,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
014,,DEFAULT,US,USD,5003,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
014,,DEFAULT,US,USD,3950,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
014,,DEFAULT,US,USD,1975,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
015,,DEFAULT,US,USD,6555,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
015,,DEFAULT,US,USD,5175,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
015,,DEFAULT,US,USD,2588,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
051,,DEFAULT,US,USD,13577,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
051,,DEFAULT,US,USD,10719,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
051,,DEFAULT,US,USD,5360,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
,051_29567823,DEFAULT,US,USD,13110,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,051_29567823,DEFAULT,US,USD,10350,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,051_29567823,DEFAULT,US,USD,5175,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
,051_30107816,DEFAULT,US,USD,13656,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,051_30107816,DEFAULT,US,USD,10781,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,051_30107816,DEFAULT,US,USD,5391,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
,051_30614390,DEFAULT,US,USD,13984,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,051_30614390,DEFAULT,US,USD,11040,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,051_30614390,DEFAULT,US,USD,5520,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
,052_29567823,DEFAULT,US,USD,9723,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,052_29567823,DEFAULT,US,USD,7676,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,052_29567823,DEFAULT,US,USD,3838,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
,052_30107816,DEFAULT,US,USD,11471,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,052_30107816,DEFAULT,US,USD,9056,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,052_30107816,DEFAULT,US,USD,4528,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
,052_30614390,DEFAULT,US,USD,9286,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,052_30614390,DEFAULT,US,USD,7331,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,052_30614390,DEFAULT,US,USD,3666,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
,053_29567823,DEFAULT,US,USD,38713,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,053_29567823,DEFAULT,US,USD,30563,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,053_29567823,DEFAULT,US,USD,15282,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
,058_24245592,DEFAULT,US,USD,3773,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,058_24245592,DEFAULT,US,USD,2979,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,058_24245592,DEFAULT,US,USD,1490,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
,058_26175504,DEFAULT,US,USD,46931,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,058_26175504,DEFAULT,US,USD,37051,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,058_26175504,DEFAULT,US,USD,18526,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
,059_24245592,DEFAULT,US,USD,23152,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,059_24245592,DEFAULT,US,USD,18278,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,059_24245592,DEFAULT,US,USD,9139,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
,059_26027598,DEFAULT,US,USD,40814,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,059_26027598,DEFAULT,US,USD,32222,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,059_26027598,DEFAULT,US,USD,16111,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
,059_26175504,DEFAULT,US,USD,48269,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,059_26175504,DEFAULT,US,USD,38107,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,059_26175504,DEFAULT,US,USD,19054,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
,060_24245592,DEFAULT,US,USD,8116,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,060_24245592,DEFAULT,US,USD,6407,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,060_24245592,DEFAULT,US,USD,3204,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
,060_26027598,DEFAULT,US,USD,43493,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,060_26027598,DEFAULT,US,USD,34337,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,060_26027598,DEFAULT,US,USD,17169,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
,060_26175504,DEFAULT,US,USD,45707,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,060_26175504,DEFAULT,US,USD,36085,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
,060_26175504,DEFAULT,US,USD,18043,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
